
novel category: 玄幻奇幻排行
novel-name: 六零小娇妻 	 novel-address: http://www.qu.la/book/38453/
novel-name: 神医嫡女 	 novel-address: http://www.qu.la/book/13703/
novel-name: 官途之平步青云 	 novel-address: http://www.qu.la/book/124709/
novel-name: 盛宠军婚：腹黑老公撩上瘾！ 	 novel-address: http://www.qu.la/book/43095/
novel-name: 报告首长，我重生啦！ 	 novel-address: http://www.qu.la/book/142641/
novel-name: 克死七个未婚妻的男主说非我不娶 	 novel-address: http://www.qu.la/book/261411/

novel category: 玄幻奇幻排行
novel-name: 乾坤剑神 	 novel-address: http://www.qu.la/book/9118/
novel-name: 武炼巅峰 	 novel-address: http://www.qu.la/book/68/
novel-name: 斗罗大陆 	 novel-address: http://www.qu.la/book/379/
novel-name: 元尊 	 novel-address: http://www.qu.la/book/3137/
novel-name: 重生之都市仙尊 	 novel-address: http://www.qu.la/book/85467/
novel-name: 修罗武神 	 novel-address: http://www.qu.la/book/175/
novel-name: 斗罗大陆II绝世唐门 	 novel-address: http://www.qu.la/book/37/
novel-name: 九转道经 	 novel-address: http://www.qu.la/book/49218/
novel-name: 全职法师 	 novel-address: http://www.qu.la/book/4703/
novel-name: 元尊 	 novel-address: http://www.qu.la/book/594/
novel-name: 圣墟 	 novel-address: http://www.qu.la/book/24868/
novel-name: 永生 	 novel-address: http://www.qu.la/book/856/
novel-name: 完美世界 	 novel-address: http://www.qu.la/book/14/
novel-name: 无敌天下 	 novel-address: http://www.qu.la/book/288/
novel-name: 放开那个女巫 	 novel-address: http://www.qu.la/book/17191/

novel category: 武侠仙侠排行
novel-name: 飞天 	 novel-address: http://www.qu.la/book/2847/
novel-name: 大奉打更人 	 novel-address: http://www.qu.la/book/249305/
novel-name: 蛊真人 	 novel-address: http://www.qu.la/book/244/
novel-name: 修仙狂徒 	 novel-address: http://www.qu.la/book/88/
novel-name: 仙草供应商 	 novel-address: http://www.qu.la/book/93543/
novel-name: 一念永恒 	 novel-address: http://www.qu.la/book/16431/
novel-name: 我开局震惊了女帝 	 novel-address: http://www.qu.la/book/269363/
novel-name: 掠天记 	 novel-address: http://www.qu.la/book/4295/
novel-name: 重生西游之天篷妖尊 	 novel-address: http://www.qu.la/book/27946/
novel-name: 诛仙 	 novel-address: http://www.qu.la/book/116/
novel-name: 三生道诀 	 novel-address: http://www.qu.la/book/180529/
novel-name: 觅仙路 	 novel-address: http://www.qu.la/book/1566/
novel-name: 神帝的醋坛子又翻啦 	 novel-address: http://www.qu.la/book/271067/
novel-name: 遮天 	 novel-address: http://www.qu.la/book/394/
novel-name: 凡人修仙之仙界篇 	 novel-address: http://www.qu.la/book/3353/

novel category: 都市言情排行
novel-name: 红色仕途 	 novel-address: http://www.qu.la/book/50/
novel-name: 驭灵神后 	 novel-address: http://www.qu.la/book/243318/
novel-name: 战神医婿 	 novel-address: http://www.qu.la/book/267634/
novel-name: 重生之财源滚滚 	 novel-address: http://www.qu.la/book/18363/
novel-name: 盖世战王 	 novel-address: http://www.qu.la/book/270730/
novel-name: 校花的贴身高手 	 novel-address: http://www.qu.la/book/161/
novel-name: 重生之衙内 	 novel-address: http://www.qu.la/book/1912/
novel-name: 唐十九秦王 	 novel-address: http://www.qu.la/book/271689/
novel-name: 特种兵在都市 	 novel-address: http://www.qu.la/book/147/
novel-name: 校花之贴身高手 	 novel-address: http://www.qu.la/book/127238/
novel-name: 坏蛋是怎样炼成的2 	 novel-address: http://www.qu.la/book/3847/
novel-name: 一笙有喜 	 novel-address: http://www.qu.la/book/259372/
novel-name: 江城唐楚楚龙帅 	 novel-address: http://www.qu.la/book/267609/
novel-name: 都市之最强狂兵 	 novel-address: http://www.qu.la/book/84138/
novel-name: 大王饶命 	 novel-address: http://www.qu.la/book/38531/

novel category: 科幻灵异排行
novel-name: 末世之全能大师 	 novel-address: http://www.qu.la/book/27473/
novel-name: 吞噬星空 	 novel-address: http://www.qu.la/book/398/
novel-name: 末世大回炉 	 novel-address: http://www.qu.la/book/254380/
novel-name: 九星毒奶 	 novel-address: http://www.qu.la/book/131920/
novel-name: 末世之黑暗召唤师 	 novel-address: http://www.qu.la/book/1032/
novel-name: 赶尸世家 	 novel-address: http://www.qu.la/book/26776/
